# Logfile created on Tue Jul 27 01:07:35 +0000 2010 by logger.rb/22285
I, [2010-07-27T01:07:35.407837 #5955]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=PHPVEETEN-ec2-west-438799-RightImage_Ubuntu_8.04_i386_v5.3_Beta&
I, [2010-07-27T01:07:35.580435 #5955]  INFO -- : GET: /api/acct/2901/ec2_server_templates/52800.js?
I, [2010-07-27T01:07:35.732708 #5955]  INFO -- : GET: /api/acct/2901/ec2_server_templates/52800/executables.js?
I, [2010-07-27T01:07:35.947782 #5955]  INFO -- : POST: /api/acct/2901/servers/795889/stop
I, [2010-07-27T01:07:38.138466 #5955]  INFO -- : POST: /api/acct/2901/servers/795890/stop
I, [2010-07-27T01:07:41.575475 #5955]  INFO -- : POST: /api/acct/2901/servers/795886/stop
I, [2010-07-27T01:07:43.320134 #5955]  INFO -- : POST: /api/acct/2901/servers/795888/stop
I, [2010-07-27T01:07:45.207790 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:07:45.294042 #5955]  INFO -- : tempserver-PHP App Server v10 (Beta) is decommissioning
I, [2010-07-27T01:07:50.302531 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:07:50.339324 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:07:55.882544 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:07:55.912687 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:08:01.022560 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:08:01.056734 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:08:06.342551 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:08:06.372930 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:08:11.512550 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:08:11.546608 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
